HelloIDPrimaryLookupKey;HelloIDSecondaryLookupKey;NedapClusterId;NedapClusterName
INK;MEDASS;1;Thuiszorg
INK;MANA;12;Specialistisch team
DESGTEAM;MEDTES;12;Specialistisch team
HPD;MEDTES;12;Specialistisch team
SAITEAM;MEDSBI;1;Thuiszorg
SAITEAM;MEDSBU;12;Specialistisch team
SAITEAM;DIREC;12;Specialistisch team
PLATEAM;MEDLERA;12;Specialistisch team
HPD;MEDCONSY;12;Specialistisch team
SAITEAM;MEDINK;12;Specialistisch team
HPDTEAM;MEDHELPSY;12;Specialistisch team
SAITEAM;MEDONT;1;Thuiszorg
HPDTEAM;MEDONT;12;Specialistisch team
HPDTEAM;MEDPRO;1;Thuiszorg
PLATEAM;MEDAPP;1;Thuiszorg
